job_position,job_company,job_location,job_last_update
Communications Associate,Target,"Bengaluru, Karnataka, India",2020-12-05
Account Management Associate,Amazon,"Bengaluru, Karnataka, India",2020-12-11
Social Media Marketing Internship,Nykaa,"Bengaluru, Karnataka, India",2020-12-10
Customer Support Executive,Technotask Business Solutions Pvt Ltd,"Bengaluru, Karnataka, India",2020-12-21
Content Writer,Swiggy,"Bengaluru, Karnataka, India",2020-12-20
Key Account Manager-Online,Bestseller India,"Bengaluru, Karnataka, India",2020-12-17
Business Analyst,peel-works,"Bengaluru, Karnataka, India",2020-12-21
"Trainee, Media Co ordinator",Saks Fifth Avenue,"Bengaluru, Karnataka, India",2020-12-08
Event Coordinator,wiTTyMinds Technologies,"Bengaluru, Karnataka, India",2020-12-20
Business Manager,Junior's Brands Private Limited,"Bengaluru, Karnataka, India",2020-12-20
Senior Associate,,"Bengaluru, Karnataka, India",2020-12-17
Customer Support Executive,Dukaan®,"Bengaluru, Karnataka, India",2020-12-20
Treebo - Online Travel Support Agent (0-1 yrs) Bangalore (After-Sales / Customer Service),Treebo Hotels,"Bengaluru, Karnataka, India",2020-12-12
Freelance Recruiter (Work from Home),CrewKarma Networks,"Bengaluru, Karnataka, India",2020-12-17
Urgent Opening For Entertainment Writer-Work from Home,Pepper Media,"Bengaluru, Karnataka, India",2020-12-10
Analyst - I,Dunzo,"Bengaluru, Karnataka, India",2020-12-18
Senior Customer Service Representative,Living Food Company,"Bengaluru, Karnataka, India",2020-12-19
Talent Acquisition Sourcer,Zeta Suite,"Bengaluru, Karnataka, India",2020-12-18
Paid Social Specialist,Mastree,"Bengaluru, Karnataka, India",2020-12-15
Officer - Stores,Cipla,"Bengaluru, Karnataka, India",2020-12-14
Urgent Opening For Entertainment Writer-Work from Home,Pepper Media,"Bengaluru, Karnataka, India",2020-12-10
Analyst - I,Dunzo,"Bengaluru, Karnataka, India",2020-12-18
Senior Customer Service Representative,Living Food Company,"Bengaluru, Karnataka, India",2020-12-19
