title,description,price,images_url,location
"G+2 House for Sale. With Lift, Full LRS Paid, fully verified Documents","* Very very important *From 26th Aug 2020, it is declared by Registration offices in Telangana that Plots/houses will not be registered if they do NOT have LRS (or) do NOT have approval from competant authority (GP/Muncipality/HMDA) This plots/houses have LRS approval and construction approval.Suggestion: Please do not buy unapproved layout(NO LRS) plots/houses from now on and dont lose valuable money and time.***North West corner and two West facing G+2 houses for sale.Rs.1,65,00,000 per each house. (Negotiable)All major bank loans available.*** Each floor registration is also available, if any Three friends/colleagues ready to buy each floor ***188.88 Square yards, Total slab area 4100 SQ Ft. (per house).Very good quality construction with good quality materials.G floor contains 2 BHK (Can get rent upto Rs.12000).G+1 contains 3 BHK (Can get rent upto Rs.15000).G+2 contains 3 BHK (Can get rent upto Rs.15000).100 % authentic documentation, fully verified.Total Rent income can get upto Rs.42000 to Rs.45000.Lift facitlity is available.Independent borewell for each house.LRS from HMDA completely paid.Brick work is completed and plastering work in progress.High quality construction.25 feet roads.Finishing works also in progress, Can be handed over in 3 to 4 months.Very near to Bachpan, AHPS and Fusion International schools.Very near to Vegetable markets.Very near to two petrol bunks.1.5 km to Chandanagar High way road.","₹ 1,65,00,000",https://apollo-singapore.akamaized.net:443/v1/files/pz862niu587x-IN/image,"India, Telangana, Hyderabad, Chanda Nagar"
3BHK Independent House (G+1),"3 BHK Independent House for sale in Hyderabad.  This property is in Samatha Colony, Tolichowki near 7 Tomb road. This 3 BHK unit is spaciously designed with ground floor (Hall, Kitchen, 1 bedroom, drawing room, 2 bathrooms) and First floor (Hall, Kitchen, 2 bedrooms, drawing room, 2 bathrooms). It is best suited for all kinds of families. This is a North facing property. Corporation Water is available.The total plot area is 839 square feet and built-up area is 1668 square foot.","₹ 90,00,000",https://apollo-singapore.akamaized.net:443/v1/files/ijr8kuo3l9mq-IN/image,"India, Telangana, Hyderabad, Tolichowki"
New Independent House,Rent for 3bhk new independent house in gated community,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/esarhnyq1dnc2-IN/image,"India, Telangana, Hyderabad, Ameenapur"
Clear Title,"We are ready to sell independent house of 102 square yards, east facing with tap and bore water facility.","₹ 45,00,000",https://apollo-singapore.akamaized.net:443/v1/files/vjo6rjjzq6rz-IN/image,"India, Telangana, Hyderabad, Nacharam"
2 BHK House for rent in Mammillagudem,2 BHK House for rent in Mammillagudem,"₹ 4,800",https://apollo-singapore.akamaized.net:443/v1/files/bj1z861pz4tc3-IN/image,"India, Telangana, Khammam, Burahanpuram"
Hi friends 2 BHK flat for sale Santosh Nagar beside Pista House,2 BHK flat for sale very near to main road beside Pista House 50 metres main road star apartment 2nd floor one car parking 2 bike parking with lift School colleges hospitals very near vegetable marketNewly fall ceiling ambient lighting fans doors and many morePlease interested person call,"₹ 35,00,000",https://apollo-singapore.akamaized.net:443/v1/files/q1hj1p9q9dvm3-IN/image,"India, Telangana, Hyderabad, Santosh Nagar"
Good ventilation near by kids playing park bus stand 5years old,Carparking lift genrater powerbackup fallcelling wood work bore water manjer all aminites are including,"₹ 41,00,000",https://apollo-singapore.akamaized.net:443/v1/files/st6qfnbyr2or3-IN/image,"India, Telangana, Hyderabad, Bhandari Layout Nizampet village"
1 BHK for rent,1bhk for rent,"₹ 5,500",https://apollo-singapore.akamaized.net:443/v1/files/qarl01taaim41-IN/image,"India, Telangana, Hyderabad, Dammaiguda"
"1BHK 24Lakhs , 2BHK 32Lakhs, Duplex: 67 Lakhs,G+1 48Lakhs in ECIL side","Ready to move Independent houses in dammaiguda Gated community venturefacing 100% vasttuNear by Schools: Gouthami group off school, Oak valley international school,SR Digi schoolColleges: sri vaishnavi Jr.collageNear by Hospitals: Shri Adhithya Hospital,sunlife's hospitalNear by shopping malls: MVR Arcade nagaram,Kalyana mahalaxmi shopping mallNear by Temples: sri balanjaneya swamy templeNear by Markets: more super market, Heritage fresh market24hrs water supplyUnder ground drainage pipe lineCC and BT roadsDifference between Gated and Non gatedGated community with solar fencingLoan approved projectFrom nationalized banks & gic 80% to 90% on offer price10% extra AmenitiesWe also have 30+ Gated community ventures like Independent house, Apartments, Open plots, Duplex house in Gated communityIn between Dammaiguda to keesara","₹ 45,00,000",https://apollo-singapore.akamaized.net:443/v1/files/5nzegjai28ch3-IN/image,"India, Telangana, Hyderabad, ECIL"
Luxury Houses at Narapally. 11 km from Habsiguda.,"2 BHK luxury houses available in well developed township at Narapally .HMDA final approved layout.11 km from Habsiguda and 7 km from Uppal depo.Nearby Infosys, Raheja and Genpact.Inside ORR.Surrounding byInternational schools and colleges.Multiplex theaters and shopping Mall.Well developed Colony. No Water Pollution, no Air pollution and no sound pollution. Ready to Gruhapravesam.Please call Srinivas","₹ 85,00,000",https://apollo-singapore.akamaized.net:443/v1/files/17brtzn4aww33-IN/image,"India, Telangana, Hyderabad, Narapally"
2nd floor 2bhk for rent,A independent floor 2bhk for rent24/7hrs water  supplyBoth corporation water and bore wellNo maintenanceEast facing2bhk with attached bathrooms,"₹ 6,500",https://apollo-singapore.akamaized.net:443/v1/files/063no42uvwgn2-IN/image,"India, Telangana, Hyderabad, Almas Guda"
Flat for sale at nallagandla,Flat for sale at nallagandlaG+5floorsEvery floors 3flats,"₹ 90,00,000",https://apollo-singapore.akamaized.net:443/v1/files/g4zbs6ul2j8t3-IN/image,"India, Telangana, Hyderabad, Nallagundla"
Flats available for rent,Rent flats,"₹ 11,000",https://apollo-singapore.akamaized.net:443/v1/files/qzec7yw5ufwc3-IN/image,"India, Telangana, Hyderabad, Attapur"
1000 sft 2years old carparking lift generater carparking fallcelling,Power back borewater manjera water concation up All aminites are including price 38laks,"₹ 38,00,000",https://apollo-singapore.akamaized.net:443/v1/files/c9x1ct0kxxh63-IN/image,"India, Telangana, Hyderabad, Bhandari Layout Nizampet village"
