address,contact,description,image_url,price,title
"Blockley Road, Wembley",020 8115 0944,Daniels are delighted to present to the market yet another fantastic three bedroom Mock Tudor semi detached family home on the soughtafter SUDBURY COURT ESTATE. This much loved family,,"£725,000 ",3 bedroom property for sale
"York Way, Kings Cross",020 8033 2471,"A great one-bedroom apartment located on the second floor of a popular building close to King's Cross Station. The apartment benefits from lots of natural light and no onward chain. 
",,"£500,000 ",1 bedroom flat for sale
"Wolseley Avenue, Wimbledon Park, London, SW19",020 8022 6587,A beautifully refurbished four bedroom period house within the desirable Wimbledon Park Grid.,,"£1,175,000 ",4 bedroom terraced house for sale
"Highbury Park, Highbury, London, N5",020 8022 7239,A stunning first floor apartment in elegant Georgian house.,,"£645,000 ",1 bedroom flat for sale
"Westwell Road, Streatham",020 8033 2445,A stunning period conversion with a lovely finish located on a sought after part of Streatham Common within easy reach of the station.,,"£350,000 ",1 bedroom flat for sale
"Stanmore,  Middlesex,  HA7",020 8128 0622,This beautifully presented three bedroom family home is located within a sought after road close to Stanmore Broadway and come with off street parking,,"£650,000 ",3 bedroom terraced house for sale
"Calderwood Street, Woolwich",020 8022 7096,"Situated in an ideal location for Woolwich Shopping Centre, mainline and DLR Stations is this one bedroom 7th floor flat. The accommodation comprises communal entrance hall, entrance hall, lounge which is open plan to kitchen, one double bedroom and bathroom.",,"£135,000 ",1 bedroom apartment for sale
"Lower Sloane Street, London, SW1W",020 8022 7373,A bright and immaculately presented flat on the second floor of this handsome period conversion.,,"£1,200,000 ",1 bedroom flat for sale
"Fife Road, London, SW14",020 8022 6238,"An exquisite and historic detached house, situated on the highly desirable and exclusive Fife Road.",,"£7,000,000 ",6 bedroom detached house for sale
"Riverside Road, Stanwell, TW19",01784 335952,"A well presented one bedroom first floor apartment with its own entrance door and a garage in a small block to the rear. The property benefits from double glazing, gas central heating, a good size lounge and a separate kitchen. The current sellers purchased a share of the freehold and there is no...",,"£215,000 ",1 bedroom maisonette for sale
"Woodhatch Close, London",020 8022 6672,Open Plan Living,,"£365,000 ",2 bedroom bungalow for sale
"Foulser Road, Tooting Bec",020 8033 2489,"Offered for sale with no forward chain is this one double bedroom period conversion with a large private rear garden located just a short stroll from the tube at Tooting Bec,",,"£450,000 ",1 bedroom flat for sale
"Greenleafe Drive, Barkingside",020 8022 6704,"GUIDE PRICE £650,000-£700,000. A five bedroom semi detached chalet bungalow off Longwood Gardens on the ever popular 'Leafe Estate'. The property has been extensively extended and offers very spacious living area's and bedrooms, and in addition has plenty of shower rooms and wc's",,"£650,000 ",5 bedroom bungalow for sale
"Quill Lane, Putney, London, SW15",020 8022 6821,A fabulous three bedroom home with private garden.,,"£750,000 ",3 bedroom flat for sale
"Sylvester Path, Hackney, London, E8",020 8033 5568,Stunning one bedroom apartment in a central Hackney location.,,"£475,000 ",1 bedroom flat for sale
"Manor Road, Chigwell, Essex, IG7",020 8022 6675,"A recently built 7 bedroom house with 4,500 sq ft of contemporary accommodation complemented by a 135' garden with a useful outbuilding suitable for use as a home office.",,"£2,250,000 ",7 bedroom detached house for sale
